college,comp_fee_2122,fee_change,comp_fee_2021,pct_change,trb_fte,trb_fte_rank
Franklin and Marshall College,78146,2634,75512,3.49,45261,7
Connecticut College,77575,2260,75315,3.00,42245,9
Colgate University,77490,2440,75050,3.25,46600,5
Trinity College,77320,2970,74350,3.99,43528,8
Colby College,76965,2240,74725,3.00,47984,3
Kenyon College,76620,2840,73780,3.85,49136,1
Skidmore College,76220,2568,73652,3.49,36381,14
St Lawrence University,75750,1860,73890,2.52,34801,15
Bates College,75720,2190,73530,2.98,48159,2
Carleton College,75600,1101,74499,1.48,41073,11
Hamilton College,75200,1830,73370,2.49,46656,4
Gettysburg College,74330,1870,72460,2.58,41146,10
Macalester College,74060,2498,71562,3.49,34024,16
Dickinson College,73960,2790,71170,3.92,39116,12
Lafayette College,73034,1029,72005,1.43,45704,6
Denison University,71400,1000,70400,1.42,37932,13
The College of Wooster,68650,1900,66750,2.85,19791,20
DePauw University,67994,2470,65524,3.77,26090,18
Rhodes College,62726,1694,61032,2.78,19999,19
Centre College,57600,2130,55470,3.84,26192,17
